
Room events/bookings....
Room - CSB/01/020
Event name, duration, date/time, planned size
CSC7082/PR1/01,180,11.10.2018 17:30:00,50
CSC7082/PR1/01,180,18.10.2018 17:30:00,50
CSC7082/PR1/01,180,25.10.2018 17:30:00,50
CSC7082/PR1/01,180,01.11.2018 17:30:00,50
CSC7082/PR1/01,180,08.11.2018 17:30:00,50
CSC7082/PR1/01,180,15.11.2018 17:30:00,50
CSC7082/PR1/01,180,22.11.2018 17:30:00,50
CSC7082/PR1/01,180,29.11.2018 17:30:00,50
CSC7082/PR1/01,180,06.12.2018 17:30:00,50
CSC7082/PR1/01,180,13.12.2018 17:30:00,50
CSC7083/PR1/01,180,14.01.2019 17:30:00,50
CSC7083/PR1/01,180,21.01.2019 17:30:00,50
CSC7083/PR1/01,180,28.01.2019 17:30:00,50
CSC7083/PR1/01,180,04.02.2019 17:30:00,50
CSC7083/PR1/01,180,11.02.2019 17:30:00,50
CSC7083/PR1/01,180,18.02.2019 17:30:00,50
CSC7083/PR1/01,180,25.02.2019 17:30:00,50
CSC7083/PR1/01,180,04.03.2019 17:30:00,50
CSC7083/PR1/01,180,11.03.2019 17:30:00,50
CSC7083/PR1/01,180,18.03.2019 17:30:00,50
CSC7083/PR1/01,180,25.03.2019 17:30:00,50
CSC7083/PR1/01,180,01.04.2019 17:30:00,50
CSC7084/PR1/01,180,06.11.2018 17:30:00,50
CSC7084/PR1/01,180,13.11.2018 17:30:00,50
CSC7084/PR1/01,180,20.11.2018 17:30:00,50
CSC7084/PR1/01,180,27.11.2018 17:30:00,50
CSC7084/PR1/01,180,04.12.2018 17:30:00,50
CSC7084/PR1/01,180,11.12.2018 17:30:00,50
CSC7084/PR1/01,180,15.01.2019 17:30:00,50
CSC7084/PR1/01,180,22.01.2019 17:30:00,50
CSC7084/PR1/01,180,29.01.2019 17:30:00,50
CSC7084/PR1/01,180,05.02.2019 17:30:00,50
CSC7084/PR1/01,180,12.02.2019 17:30:00,50
CSC7084/PR1/01,180,19.02.2019 17:30:00,50
CSC7086/PR1/01,180,08.11.2018 17:30:00,50
CSC7086/PR1/01,180,15.11.2018 17:30:00,50
CSC7086/PR1/01,180,22.11.2018 17:30:00,50
CSC7086/PR1/01,180,29.11.2018 17:30:00,50
CSC7086/PR1/01,180,06.12.2018 17:30:00,50
